show_title,role_name,gender,age,description
Murder at Midnight,Detective Smith,Any,30-50,A sharp and witty investigator.
Murder at Midnight,Suspect #1,M,25-40,A nervous banker with a secret.
The Grand Heist,Leader,F,35-50,A mastermind behind a legendary heist.
The Grand Heist,Thief M,M,20-30,An agile pickpocket and expert lockpicker.

"Missing Millions",           
"Dog Show Debacle",
"Holiday Inheritance",
"Murder for Real",
"Murder, Preserved",
"Round and Round it Goes",
"Vineyard of Good and Evil",
"The Missing Mascot",
"The Case of the Missing Gems",
"The Final Note",
"Spies in Disguise",
"Medieval Misfortune",

ORIGINAL:
show_title,role_name,gender,age,description
The Final Note,Jamie Peterson,Female,Early 20s,"Jamie is an excitable and devoted fan of the band Roach and Polly. She won a radio contest to meet them and is overjoyed, especially to meet Roach. However, her enthusiasm is crushed when Roach dismisses her coldly. A champion dart player, Jamie's bubbly and dramatic personality makes her a standout. She idolizes Polly, especially after Roach’s rejection, and is devastated when the concert is canceled due to his death."
The Final Note,Gus Wilcox,Male,50s,"Gus is the long-suffering tour bus driver for Roach and Polly. He has been with them from the beginning, witnessing their rise to fame. He is loyal but frustrated, as Roach continually takes advantage of him, refusing to give him a raise or even basic appreciation. Gus is the voice of reason among the chaos and enjoys his jellybeans as a small comfort amidst the madness of touring. Despite his grievances, he remains a dedicated worker."
The Final Note,David Brashwood (Roach),Male,Mid 30s,"Roach, the egotistical and self-centered lead singer of Roach and Polly, has built his career on his stage presence rather than raw talent. He is dismissive, arrogant, and unwilling to share the spotlight, even with Polly, who writes the band's music. His rude treatment of fans, bandmates, and crew creates tension. When he is found dead just before a performance, many people have motives for wanting him gone."
The Final Note,Pauline Krakowski (Polly Crackers),Female,Mid 30s,"Polly is the true talent behind Roach and Polly, as she writes all the songs. Despite being in the shadow of Roach, she remains passionate about music and longs for more recognition. Roach continuously denies her a chance to share the stage, fearing she might outshine him. Though she is hurt by his behavior, she remains dedicated to the music. After his death, she realizes she might finally get her chance to take center stage."
The Final Note,Gloria Flowers,Female,40s,"Gloria is Roach’s pragmatic and sharp-tongued agent. She tolerates him only because of the money he brings in. While she despises his attitude, she ensures the band's business stays afloat. After Roach's death, she is primarily concerned with the financial repercussions, highlighting her practical and slightly callous nature. Despite this, she is deeply invested in solving the mystery, as her own livelihood depends on the band's success."
The Final Note,Brenda Board,Female,30s,"Brenda is the overworked and detail-oriented stage manager who ensures the concerts run smoothly. Roach’s last-minute changes and erratic demands constantly frustrate her. At one point, she had a brief and regrettable romantic connection with him, which ended poorly. She is organized to a fault and resents the chaos Roach brings. His death relieves her of his presence but threatens the stability of her job."
The Final Note,Teddy Broadhurst,Male,30s,"eddy is the tech crew member responsible for setting up the stage and ensuring the band's equipment functions properly. Roach constantly disrespects him and belittles his work, fueling Teddy’s quiet frustration. While he remains professional on the surface, his deep-seated resentment suggests he may know more about the night’s events than he lets on. As the investigation unfolds, his connection to the incident raises suspicions, leaving others to question whether years of mistreatment could push someone to the breaking point."
Vineyard of Good and Evil,Sloan Williams,Male,40s,"A conflicted detective who loves his job but despises Prohibition. Sloan has a strong moral compass but turns a blind eye to speakeasy activities and even indulges himself. Investigating the murder of Clark Vineschlinger at Vino’s, he seeks help from those present. Quick-witted, charming, and deeply troubled by the restrictions of the law, he must balance justice with his personal beliefs."
Vineyard of Good and Evil,Clark Vineschlinger,Male,30s,"Clark is the unfortunate victim at the heart of the mystery. As the barkeep at Vino’s, he was well-liked but had his fair share of enemies. His love for wine and hospitality made him a key figure in the speakeasy, but his choices, including removing Wetwhistle’s wines and discovering a scandalous affair, ultimately led to his demise."
Vineyard of Good and Evil,Brie Camembert,Female,30s,"A refined but passive-aggressive cheese expert who takes great pride in her knowledge. Brie is desperate to sell her grandmother’s house but is blocked by her cousin, Clark, who refuses to leave. She resents his freeloading but denies any involvement in his murder. Clever and ambitious, she is driven by financial security and social status."
Vineyard of Good and Evil,Grissom Wetwhistle,Male,40s,"A fast-talking, in-your-face winemaker with a penchant for charming people into buying his products. Grissom is a people-pleaser with a hidden temper, especially when his business is threatened. After a scathing review led to his wines being pulled from Vino’s, he was furious but later learned Clark intended to reinstate them, clearing him of motive."
Vineyard of Good and Evil,Miami Plumplucker,Any,40s-50s,"The town drunk and a lively, boisterous character who never takes life too seriously. Miami is known for frequent blackouts and wild behavior. Clark often kicked Miami out of the speakeasy for causing trouble. Though they had a tumultuous relationship, Miami has no memory of Clark’s murder due to being heavily intoxicated."
Vineyard of Good and Evil,Guiseppe 'Seppe' LaRue,Male,40s,"A pompous wine critic with an exaggerated love for adjectives, Seppe sees himself as a romantic and connoisseur. He enjoys making grandiose statements about wine and life. Secretly, he is having an affair with LouAnn Zhure and allows her opinions to shape his reviews, unknowingly influencing a chain of events that led to Clark’s death."
Vineyard of Good and Evil,LouAnn Zhure,Female,30s,"An ambitious and arrogant sommelier who tries to distance herself from the unfortunate implications of her last name. She has a wealth of wine knowledge and a taste for the finer things in life. Secretly having an affair with Seppe, she manipulated him into badmouthing Wetwhistle’s wine. When Clark discovered their affair and threatened to expose them, she silenced him for good."
Spies in Disguise,The Executor (Lawrence),Male,60s,"The Executor, also known as Lawrence, is a powerful and commanding figure in the spy underworld. A veteran of espionage, he has been a leader within the secret organization for decades. Charismatic, authoritative, and unwaveringly loyal to the cause, he is both feared and respected. When a traitor is revealed to be among them, The Executor takes charge, rallying his fellow spies to root out the mole. His calculated and dramatic approach ensures no detail goes unnoticed, and his ultimate goal is to protect the integrity of their covert society."
Round and Round It Goes,Fletcher Cornmeal,Male,40s,"Fletcher is the passionate and opinionated corn dog vendor at the carnival. He believes in quality food and insists on changing out the fry oil regularly, much to the annoyance of the frugal carnival owner, Greedy. A long-time employee, Fletcher is outspoken about his frustrations, especially when Greedy attempts to take more of his profits. He values fairness but isn’t shy about expressing his disdain for Greedy’s cutthroat business tactics."
Round and Round It Goes,Sunshine,Female,30s,"Sunshine is a free-spirited carnival enthusiast who attends daily. Her excitable and friendly nature makes her well-known among the workers. While she doesn’t officially work at the carnival, her presence is constant, and she eagerly offers to help wherever she can. Often distracted and cheerful, she provides comic relief while also proving to be surprisingly observant when it matters."
Round and Round It Goes,Fidget PI,Female,30s,"Fidget is the eccentric and self-proclaimed private investigator who also works as the Kidz’ Zone mascot. While her investigative skills may be questionable, her enthusiasm and determination make her an unexpected force in solving the mystery. Though initially a suspect, Fidget ultimately proves her innocence and plays a key role in uncovering the truth behind Greedy’s fall."
